Service Code,Department,Category,Service Name,Service Rate
ANAN000001,Anaesthesia,Anaesthesia,GENERAL ANEASTHESIA,350000
ANAN000002,Anaesthesia,Surgical Procedures,EPIDURALANAESTHESIA FOR SURGERY,400000
CAHC000001,Cardiology,Endoscopy & Minimal Invasive,ENDOSCOPY UPPER GI,350000
CAHC000002,Cardiology,Endoscopy & Minimal Invasive,COLONOSCOPY PACKAGE,250000
CAHC000003,Cardiology,Cardiology Procedures,CAG(CORONARY  ANGIOGRAPHY),200000
CAMS000003,Cardiology,Cardiology Procedures,2 D ECHO (COLOR DOPPLER),90000
CAPF000001,Cardiology,Cardiology Procedures,BP MONITORING (24 hours ),80000
CAPF000002,Cardiology,Cardiology Procedures,DOBUTAMINE STRESS ECHO,30000
CAPF000004,Cardiology,Cardiology Procedures,ECG,30000
CAPF000005,Cardiology,Cardiology Procedures,ECHO TRANSESOPHAGEAL,75000
CAPF000007,Cardiology,Cardiology Procedures,ECHO STRESS,65000
CAPF000008,Cardiology,Cardiology Procedures,FOETAL ECHO CARDIOGRAPHY,65200
CAPF000009,Cardiology,Cardiology Procedures,HOLTER MONITOR,60000
CAPF000010,Cardiology,Cardiology,TREADMILL TEST(TMT),90000
CAPF000011,Cardiology,Cardiology,PORTABLE CHARGES,70000
CAPF000012,Cardiology,Cardiology,IABP INSERTION CHARGES,65300
CAPF000013,Cardiology,Surgical Procedures,PSEUDOANEURYSM FOR U/S GUIDED COMPRESSION REPAIR,65000
CAPF000019,Cardiology,Cardiology Procedures,ECHO,40000
CAPF000020,Cardiology,Cardiology Procedures,ECHO SCREENING,45000
CAPF000021,Cardiology,"ENT (Ear, Nose & Throat)",EVENT RECORDING,10000
CAPF000022,Cardiology,Cardiology Procedures,PACEMAKER CHECK,45000
CAPF000023,Cardiology,Cardiology Procedures,LIMITED ECHO,35000
CAPF000024,Cardiology,Cardiology,BUBBLE STUDYADDENDUM,20000
CAPF000025,Cardiology,Cardiology Procedures,STANDARD STRESS TEST,45000
CAPF000026,Cardiology,Cardiology Procedures,STRESS TEST WITH OXIMETRY,50500
CAPF000027,Cardiology,Cardiology Procedures,24HRAMBULATORY BP MONITORING,80000
CAPF000028,Cardiology,Cardiology,PULMONARY FUNCTION TEST,50000
CAPF000029,Cardiology,Cardiology Procedures,VASCULAR ECHOVENOUS,120000
CAPF000030,Cardiology,Cardiology Procedures,VASCULAR ECHOARTERIAL,150000
CAPF000031,Cardiology,Cardiology Procedures,VASCULAR ECHO CAROTID BILATERAL,112500
CAPF000032,Cardiology,Cardiology Procedures,ROUTINE STRESS TEST,45000
CAPF000033,Cardiology,Cardiology,ANKLE-BRACHIAL INDEX,90000
CAPF000034,Cardiology,Cardiology Procedures,ECHO BUBBLE STUDY,37500
CAPF000035,Cardiology,"ENT (Ear, Nose & Throat)",THORACOCENTESIS/PERICARDIOCENTESIS ,450000
CAPF000037,Cardiology,Medical Supplies & Equipment,DRESSING,5000
CAPF000038,Cardiology,Cardiology,SLEEP STUDY TEST,40000
CAPF000039,Cardiology,Cardiology,SLEEP CPA THERAPEUTIC STUDY,135000
CAPF000040,Cardiology,Cardiology,SPIROMETER,45500
CAPF000044,Cardiology,Cardiology,CPAP MACHINE-RESMED,350000
CAPF000045,Cardiology,Medical Supplies & Equipment,CPAP MASK - DLUGSTAR PLUS,350000
CAPF000046,Cardiology,Medical Supplies & Equipment,CPAP MASK - MIRAGE FX NASAL,350000
CAPF000047,Cardiology,Medical Supplies & Equipment,CPAP MASK • OUATIRO FX,350000
CAPF000048,Cardiology,Cardiology,CPAP MACHINE NEW,800000
CAPF000049,Cardiology,Cardiology,CONTINUOUSAIRWAY PRESSURE DEVICE,800000
CAPF000050,Cardiology,Cardiology,AIRFITP10,200000
CAPF000051,Cardiology,"ENT (Ear, Nose & Throat)",RESMED NASAL PILLOW,80000
CAPF000052,Cardiology,Cardiology,RESPIRONIC COMFORT FULL FACE 11CPAP MAS,350000
CAPF000053,Cardiology,Pharmaceuticals,RESMED SLIMLINE TUBING,50000
CAPF000054,Cardiology,Pharmaceuticals,RESPIRONICS NUANCE GEL NASAL PILLOWS,22500
CAPF000055,Cardiology,Medical Supplies & Equipment,FULL FCE MASK POSAIRWAY PRESS DEV,60000
CAPF000056,Cardiology,Cardiology,"THERMOMETER, DIGITAL",150000
CAPF000057,Cardiology,Cardiology,DISPENSER,70000
CAPF000058,Cardiology,Pharmaceuticals,DISPENSER SOLUTION,42000
CAPF000059,Cardiology,Cardiology,ISOLATION CHARGES per day ( non COVID ),100000
CAPF000060,Cardiology,Consultations & Reviews,WOUND - CONSULTATION,35000
CAPF000061,Cardiology,Cardiology,6 MINUTES WALK TEST,50000
CAPF000062,Cardiology,Cardiology,MINOR LACERATION TRAY,55000
CAPF000063,Cardiology,Cardiology,6 MINUTES WALK TEST,50000
CAPF000062,Cardiology,Cardiology,CHEMS,37500
CAPF000066,Cardiology,Cardiology,CG4,23100
CAPF000067,Cardiology,Cardiology,EC8,17700
CAPF000068,Cardiology,Cardiology,FBC,17700
CAPF000069,Cardiology,Cardiology,M/C/S,11000
CAPF000071,Cardiology,Cardiology,ASPIRATE CHEMISTRY,13300
CAPF000072,Cardiology,Cardiology,TB OUANTIFERONE,13300
CAPF000073,Cardiology,Cardiology,CARCINO EMBRYONIC ANTIGEN,77200
CAPF000074,Cardiology,Cardiology,1ID-CLCCTROPIIAC3C,36000
CAPF000075,Cardiology,Radiology & Imaging,ANTI-NUCLEAR FACTOR(ANF),18200
CAPF000076,Cardiology,Radiology & Imaging,ANTINUCLEAR CYTOPLASMIC ANTIGEN(ANCA),31500
CAPF000077,Cardiology,Cardiology,DOUBLESTRANDED DNA,24000
CAPF000078,Cardiology,Laboratory Tests,THYROID  PEROXIDEANTIBODIES,40000
CAPF000079,Cardiology,Cardiology,CMP,51300
CAPF000080,Cardiology,Laboratory Tests,LIPID PANEL PLUS,27300
CAPF000081,Cardiology,Laboratory Tests,METABOLIC PANEL,29400
CAPF000082,Cardiology,Consultations & Reviews,GENERAL CONSULTATION,15000
CAPF000085,Cardiology,Consultations & Reviews,SPECIALIST CONSULTATION,25000
CAPF000086,Cardiology,Surgical Procedures,NEUROSURGERY CONSULT,30000
CAPF000087,Cardiology,Cardiology,NURSE HOMEVISIT (BP.WEIGHT),37500
CAPF000088,Cardiology,Pharmaceuticals,CARD IAG MUNIIUK PER DAY,20000
CAPF000091,Cardiology,Cardiology,DAILY PROFESSIONAL FEES,45000
CAPF000092,Cardiology,Cardiology,SAME DAY OBSERVATION(6HRS),120000
CAPF000093,Cardiology,Cardiology,EXTENDED CARE CHARGE PER HOUR,5000
CAPF000094,Cardiology,Cardiology,CARDIOVERSIONIDEFIBILLATION,65000
CAPF000095,Cardiology,Intensive Care,INTENSIVE CARE PER DAY,180000
CAPF000096,Cardiology,"ENT (Ear, Nose & Throat)",CENTRALLINE TRAY,100000
CAPF000097,Cardiology,Medical Supplies & Equipment,NEBULIZER,150000
CAPF000098,Cardiology,Cardiology,FEMOSTOP,50000
CAPF000099,Cardiology,Intensive Care,PROFESSIONAL FEE PER DAY (ICU),50000
CAPF000100,Cardiology,Intensive Care,NURSING FEE PER DAY  (ICU),35500
CAPF000103,Cardiology,Radiology & Imaging,PERIPHERALANGIOGRAM,50000
CASF000001,Cardiothoracic Surgery,Cardiothoracic Surgery,THORACIC INLET,90000
CASF000002,Cardiothoracic Surgery,Surgical Procedures,PACEMAKER  IMPLANTATION,2500000
CASF000003,Cardiothoracic Surgery,Cardiology Procedures,SINGLE CHAMBER PACEMAKER,2000000
CASF000004,Cardiothoracic Surgery,Consultations & Reviews,DENTAL CONSULTATION - PERIODIC ORAL EVALUATION,30000
DNOC000001,Dentistry,Consultations & Reviews,DENTAL CONSULTATION - LIMITED ORAL EVALUATION,25000
DNOC000002,Dentistry,Consultations & Reviews,DENTAL CONSULTATION - COMPREHENSIVE ORAL EVALUATION,30000
DNOC000003,Dentistry,Consultations & Reviews,DENTAL CONSULTATION - COMPREHENSIVE PERIODNTAL EVALUATION,30000
DNOC000004,Dentistry,Dentistry,EXTENSIVE EXAMINATIONAND INVESTIGATION/HOUR,35000
DNPF000004,Dentistry,Radiology & Imaging,OCCLUSALRADIOGRAPH,50000
DNPF000005,Dentistry,Dentistry,PHOTOGRAPHS (2 PHOTOS),5000
DNPF000007,Dentistry,Dentistry,STUDY MODELS,10000
DNPF000008,Dentistry,Dental Services,ACRYLIC CROWN,9200
DNPF000009,Dentistry,Dental Services,AMALGAM FILLING -SMALL,50000
DNPF000010,Dentistry,Dental Services,AMALGAM FILLING-LARGE,16000
DNPF000011,Dentistry,Dental Services,COMPOSITE RESIN FILLING - 1SURFACE,50000
DNPF000012,Dentistry,Dental Services,COMPOSITE RESIN FILLING - 2 SURFACE,50000
DNPF000013,Dentistry,Dental Services,COMPOSITE RESIN FILLING - 3 SURFACE,50000
DNPF000014,Dentistry,Dental Services,EXTRACTION OF 1DECIDUOUS TOOTH,60000
DNPF000015,Dentistry,Dental Services,EXTRACTION OF LOOSE DECIDUOUS TOOTH,50000
DNPF000016,Dentistry,"ENT (Ear, Nose & Throat)",FLUORIDE TREATMENT (PERJAW),20000
DNPF000017,Dentistry,Dentistry,FULL MOUTH PROPHYLAXIS (15 MINS),9200
DNPF000018,Dentistry,Dental Services,GLASS IONOMER FILLING-LARGE,9200
DNPF000019,Dentistry,Dental Services,GLASS IONOMER FILLING-SMALL,16000
DNPF000020,Dentistry,Medical Supplies & Equipment,IRRIGATION & TEMPORARY DRESSING,12300
DNPF000021,Dentistry,Dentistry,PIT & FISSURE SEALANT (PER QUADRANT),6200
DNPF000022,Dentistry,Dental Services,PIT & FISSURE SEALANT (PER TOOTH),12300
DNPF000023,Dentistry,Dentistry,PULPOTOMY,9200
DNPF000024,Dentistry,Dental Services,ROOT CANAL-SINGLE ROOT (OBT),30600
DNPF000025,Dentistry,Dental Services,ROOT CANAL-SINGLE ROOT (PER SESSION-BMP),40000
DNPF000026,Dentistry,Dental Services,ROOT CANAL-THREE ROOTS (OBT),40000
DNPF000027,Dentistry,Dental Services,ROOT CANAL-THREE ROOTS (PER SESSION-BMP),40000
DNPF000028,Dentistry,Dental Services,TEMPORARY FILLING,40000
DNPF000029,Dentistry,Dentistry,ALVEOLOPLASTY PRE PROSTHETIC (PER QUADRANT),30000
DNPF000030,Dentistry,Surgical Procedures,BONE GRAFT - PER TOOTH,42900
DNPF000031,Dentistry,Dentistry,DRY SOCKET (ADDITIONALVISIT),42900
DNPF000032,Dentistry,Dentistry,DRY SOCKET (FIRST VISIT),20000
DNPF000033,Dentistry,Dentistry,ENUCLEATION OFCYST,20000
DNPF000034,Dentistry,Dental Services,EXTRACTION OF 1TOOTH - COMPLICATED,79600
DNPF000035,Dentistry,Dental Services,EXTRACTION OF 1TOOTH - NORMAL,120000
DNPF000036,Dentistry,Dentistry,FRENECTOMY (LASER),100000
DNPF000037,Dentistry,Dental Services,GINGIVAL CONTOURING (PER TOOTH),120000
DNPF000038,Dentistry,Dentistry,INCISIONAND DRAINAGE OFABSCESS,40000
DNPF000039,Dentistry,Intensive Care,SURGICAL REMOVAL OFRESIDUAL ROOTS - DIFFICULT,150000
DNPF000040,Dentistry,Dentistry,SURGICAL REMOVAL OFRESIDUAL ROOTS - SIMPLE,100000
DNPF000041,Dentistry,Dental Services,SURGICAL REMOVAL OFTOOTH - DIFFICULT,100000
DNPF000042,Dentistry,Dental Services,SURGICAL REMOVAL OFTOOTH - SIMPLE,150000
DNPF000043,Dentistry,Dental Services,SURGICAL REMOVAL OFWISDOM TOOTH - DIFFICULT,150000
DNPF000044,Dentistry,Dental Services,SURGICAL REMOVAL OFWISDOM TOOTH - SIMPLE,120000
DNPF000045,Dentistry,"ENT (Ear, Nose & Throat)",TREATMENT FOR PERICORONITIS (LASER),100000
DNPF000046,Dentistry,Dental Services,TREATMENT OFPOST EXTRACTION HAEMORHAGE,120000
DNPF000047,Dentistry,Dental Services,3/4 CROWN,150000
DNPF000048,Dentistry,Dental Services,CROWN (TYPE 1),122400
DNPF000049,Dentistry,Dental Services,CROWN (TYPE 2),122400
DNPF000050,Dentistry,Dentistry,INLAY - 1SURFACE (TYPE 1),159200
DNPF000051,Dentistry,Dentistry,INLAY - 1SURFACE (TYPE 2),61200
DNPF000052,Dentistry,Dentistry,INLAY - 2 SURFACE (TYPE 1),79600
DNPF000053,Dentistry,Dentistry,INLAY - 2 SURFACE (TYPE 2),79600
DNPF000054,Dentistry,Dentistry,INLAY - 3 SURFACE (TYPE 1),98000
DNPF000055,Dentistry,Dentistry,INLAY - 3 SURFACE (TYPE 2),79600
DNPF000056,Dentistry,Dental Services,MARYLAND BRIDGE,122400
DNPF000057,Dentistry,Dentistry,ONLAY - 1CUSP (TYPE 1),140800
DNPF000058,Dentistry,Dentistry,ONLAY - 1CUSP (TYPE 2),79600
DNPF000059,Dentistry,Dentistry,ONLAY - 2 CUSPS (TYPE 1),98000
DNPF000060,Dentistry,Dentistry,ONLAY - 2 CUSPS (TYPE 2),98000
DNPF000061,Dentistry,Dentistry,ONLAY - 3 CUSPS (TYPE 1),122400
DNPF000062,Dentistry,Dentistry,ONLAY - 3 CUSPS (TYPE 2),110200
DNPF000063,Dentistry,Dentistry,VENEER,122400
DNPF000064,Dentistry,Dentistry,VENEER (4 UNITS),122400
DNPF000065,Dentistry,Dentistry,VENEER (6 UNITS),397800
DNPF000066,Dentistry,Dentistry,VENEER (8 UNITS),556800
DNPF000067,Dentistry,Dental Services,1SURFACEAMALGAM FILLING,795400
DNPF000068,Dentistry,Dental Services,2 SURFACE (AMALGAM FILLING),100000
DNPF000069,Dentistry,Dental Services,3 SURFACE (AMALGAM FILLING),100000
DNPF000070,Dentistry,Dental Services,4 TO 5 SURFACES (AMALGAM FILLING),100000
DNPF000071,Dentistry,Pharmaceuticals,ADDITIONAL GEL (IF REQUIRED),80000
DNPF000072,Dentistry,Dentistry,ANTERIOR COMPOSITE VENEER,50000
DNPF000073,Dentistry,Dental Services,BLEACHIN DISCOLORED TEETH,30600
DNPF000074,Dentistry,Pharmaceuticals,BLEACHING TRAY & GEL LOWER,153000
DNPF000075,Dentistry,Pharmaceuticals,BLEACHING TRAY & GEL UPPER,104100
DNPF000076,Dentistry,Dental Services,CLASS V COMPOSITE FILLING (LARGE),104100
DNPF000077,Dentistry,Pharmaceuticals,CLASS V COMPOSITE FILLING (MEDIUM),20300
DNPF000078,Dentistry,Dental Services,CLASS V COMPOSITE FILLING (SMALL),16000
DNPF000079,Dentistry,Dentistry,TEMPORARY  RESTORATION,16000
DNPF000080,Dentistry,Dental Services,GAP CLOSUREWITH COMPOSITE (EACH TOOTH),12300
DNPF000081,Dentistry,Dentistry,GLASS IONOMER - LINING/BASE,20300
DNPF000082,Dentistry,Dental Services,INTERMEDIATE FILLING,80000
DNPF000083,Dentistry,Dental Services,LASER BLEACHING (PER QUADRANT),35000
DNPF000084,Dentistry,Dental Services,PERMANENT FILLING,35000
DNPF000085,Dentistry,Dentistry,PIN RETAINED RESTORATION ( PER PIN),35000
DNPF000086,Dentistry,Dental Services,TEMPORARY DRESSING (SEDATIVE FILLING),20300
DNPF000087,Dentistry,Dental Services,TEMPORARY FILLING (GLASS IONOMER),45000
DNPF000089,Dentistry,Dental Services,TEMPORARY FILLING (RESIN),55000
DNPF000090,Dentistry,Dental Services,TOOTH COLOURED FILLING IN COMPOSITE - 1SURFACE,35000
DNPF000091,Dentistry,Dental Services,TOOTH COLOURED FILLING IN COMPOSITE - 2 SURFACE,30600
DNPF000092,Dentistry,Dental Services,TOOTH COLOURED FILLING IN COMPOSITE - 3 SURFACE,30600
DNPF000093,Dentistry,Dental Services,TOOTH COLOURED FILLING IN GLASS IONOMER - 1SURFACE,30600
DNPF000094,Dentistry,Dental Services,TOOTH COLOURED FILLING IN GLASS IONOMER - 2 SURFACE,30600
DNPF000095,Dentistry,Dental Services,TOOTH COLOURED FILLING IN GLASS IONOMER - 3 SURFACE,30600
DNPF000096,Dentistry,Dental Services,ACRYLIC PARTIAL DENTURE (PER UNIT),30600
DNPF000097,Dentistry,Dental Services,CHROME COBALT FULL DENTURE (PERJAW),98000
DNPF000098,Dentistry,Dental Services,CHROME COBALT PARTIAL DENTURE 1- 3 TEETH,238600
DNPF000099,Dentistry,Dental Services,CHROME COBALT PARTIAL DENTURE 4 - 7 TEETH,122400
DNPF000100,Dentistry,Dental Services,CHROME COBALT PARTIAL DENTUREMORETHAN 7 TEETH,202000
DNPF000101,Dentistry,Dental Services,COMPLETE DENTURE UPPER OR LOWER-ACRYLIC,281500
DNPF000102,Dentistry,Dental Services,COMPLETE DENTURE UPPER OR LOWER-PORCELAIN,238600
DNPF000103,Dentistry,Dental Services,CROWN -COMPLETE PORCELAIN,238600
DNPF000104,Dentistry,Dental Services,CROWN -GOLD,230500
DNPF000105,Dentistry,Pharmaceuticals,CROWN -NICKEL CHROMIUM,159200
DNPF000106,Dentistry,Dental Services,CROWN -PORCELAIN FUSED TO GOLD,61200
DNPF000107,Dentistry,Dental Services,CROWN -PORCELAIN FUSED TO NON PRECIOUS METAL (TYPE 1),159200
DNPF000108,Dentistry,Dental Services,CROWN -PORCELAIN FUSED TO NON PRECIOUS METAL (TYPE 2),79600
DNPF000109,Dentistry,Dental Services,DENTURE RELINING (TYPE 1),79600
DNPF000110,Dentistry,Dental Services,DENTURE RELINING (TYPE 2),98000
DNPF000111,Dentistry,Surgical Procedures,DENTURE REPAIR,98000
DNPF000112,Dentistry,Dentistry,INCERAM PORCELAINVENEER,16000
DNPF000113,Dentistry,Dental Services,MARYLAND BRIDGE,122400
DNPF000114,Dentistry,Dental Services,TEMPORARY CROWN (DIRECT),110200
DNPF000115,Dentistry,Dental Services,TEMPORARY CROWNS - (LAB BASED),12300
DNPF000116,Dentistry,Dental Services,APICOECTOMYAND RETROGRADE FILLING (ANTERIOR),16000
DNPF000117,Dentistry,Dental Services,APICOECTOMYAND RETROGRADE FILLING (POSTERIOR),122400
DNPF000118,Dentistry,Orthopaedics,CAST GOLD POST,122400
DNPF000119,Dentistry,Dentistry,HEMISECTION,61200
DNPF000120,Dentistry,Dentistry,LASER STERILIZATION (PER CANAL),122400
DNPF000121,Dentistry,Dentistry,POST CORE BUILD UP (TYPE 1),9200
DNPF000122,Dentistry,Dentistry,POST CORE BUILD UP (TYPE 2),49000
DNPF000123,Dentistry,"ENT (Ear, Nose & Throat)",REMOVAL OFBROKEN INSTRUMENT/POST,98000
DNPF000124,Dentistry,Dental Services,ROOT CANAL TREATMENT 1CANAL (ANTERIOR)-MANUAL,30600
DNPF000125,Dentistry,Dental Services,ROOT CANAL TREATMENT 1CANAL (ANTERIOR)-ROTARY (TYPE 1),61200
DNPF000126,Dentistry,Dental Services,ROOT CANAL TREATMENT 1CANAL (ANTERIOR)-ROTARY (TYPE 2),61200
DNPF000127,Dentistry,Dental Services,ROOT CANAL TREATMENT 2 CANALS (POSTERIOR)-MANUAL,61200
DNPF000128,Dentistry,Dental Services,ROOT CANAL TREATMENT 2 CANALS (POSTERIOR)-ROTARY (TYPE 1),79600
DNPF000129,Dentistry,Dental Services,ROOT CANAL TREATMENT 2 CANALS (POSTERIOR)-ROTARY (TYPE 2),79600
DNPF000130,Dentistry,Dental Services,ROOT CANAL TREATMENT 3 CANALS (POSTERIOR)-MANUAL,79600
DNPF000131,Dentistry,Dental Services,ROOT CANAL TREATMENT 3 CANALS (POSTERIOR)-ROTARY (TYPE 1),79600
DNPF000132,Dentistry,Dental Services,ROOT CANAL TREATMENT 3 CANALS (POSTERIOR)-ROTARY (TYPE 2),79600
DNPF000133,Dentistry,Dental Services,TRANSIENT PATIENT - OPEN & DRESS TOOTH,79600
DNPF000134,Dentistry,"ENT (Ear, Nose & Throat)",ANTIDECAY TREATMENT WITH FLUORIDE,12300
DNPF000135,Dentistry,Dentistry,BITE GUARD (NIGHT GUARD),20300
DNPF000136,Dentistry,Dentistry,BITE GUARD (SPORTS SOFT),61200
DNPF000137,Dentistry,Dental Services,PIT & FISSURE SEALANTS - PER TOOTH,61200
DNPF000138,Dentistry,Surgical Procedures,FULL DENTUREATIACHED ON FOUR IMPLANTS,9200
DNPF000139,Dentistry,Surgical Procedures,FULL DENTUREATIACHED ON THREE IMPLANTS,2936500
DNPF000140,Dentistry,Surgical Procedures,FULL DENTUREATIACHED ON TWO IMPLANTS,2385900
DNPF000141,Dentistry,Surgical Procedures,SINGLE IMPLANT (TYPE 1),1896500
DNPF000142,Dentistry,Surgical Procedures,SINGLE IMPLANT (TYPE 2),1040100
DNPF000143,Dentistry,Surgical Procedures,THREE UNIT BRIDGE ON IMPLANTS,856600
DNPF000144,Dentistry,Surgical Procedures,"TWOADJACENT CROWNS ON IMPLANTS,INCLUDING CROWN",2080000
DNPF000145,Dentistry,Dentistry,EXPANSION  SCREWAPPLIANCE,1835300
DNPF000146,Dentistry,Dentistry,HABIT BREAKINGAPPLIANCE,122400
DNPF000147,Dentistry,Consultations & Reviews,ORTHODONTIC  CONSULTATION,79600
DNPF000148,Dentistry,Dentistry,SPACE MAINTAINERS,21500
DNPF000149,Dentistry,"ENT (Ear, Nose & Throat)",TREATMENT WITH FIXEDAPPLIANCE (BOTHJAWS) - 2 YEARS (TYPE 1),61200
DNPF000150,Dentistry,"ENT (Ear, Nose & Throat)",TREATMENT WITH FIXEDAPPLIANCE (BOTHJAWS) - 2 YEARS (TYPE 2),1590600
DNPF000151,Dentistry,"ENT (Ear, Nose & Throat)",TREATMENT WITH FIXEDAPPLIANCE (BOTHJAWS) - 1YEAR (TYPE 1),1284800
DNPF000152,Dentistry,"ENT (Ear, Nose & Throat)",TREATMENT WITH FIXEDAPPLIANCE (BOTHJAWS) - 1YEAR (TYPE 2),1101200
DNPF000153,Dentistry,"ENT (Ear, Nose & Throat)",TREATMENT WITH FIXEDAPPLIANCE (BOTHJAWS) - 18 MONTHS (TYPE 1),856600
DNPF000154,Dentistry,"ENT (Ear, Nose & Throat)",TREATMENT WITH FIXEDAPPLIANCE (BOTHJAWS) - 18 MONTHS (TYPE 2),1407100
DNPF000155,Dentistry,"ENT (Ear, Nose & Throat)",TREATMENT WITH FIXEDAPPLIANCE (ONE JAW) - 1YEAR (TYPE 1),1101200
DNPF000156,Dentistry,"ENT (Ear, Nose & Throat)",TREATMENT WITH FIXEDAPPLIANCE (ONE JAW) - 1YEAR (TYPE 2),611900
DNPF000157,Dentistry,"ENT (Ear, Nose & Throat)",TREATMENT WITH HEADGEAR - 1YEAR,489500
DNPF000158,Dentistry,"ENT (Ear, Nose & Throat)",TREATMENT WITH HEADGEAR - 6 MONTHS,397800
DNPF000159,Dentistry,"ENT (Ear, Nose & Throat)",TREATMENT WITH REMOVABLEAPPLIANCE - 1YEAR (PERJAW-TYPE 1),244800
DNPF000160,Dentistry,"ENT (Ear, Nose & Throat)",TREATMENT WITH REMOVABLEAPPLIANCE - 1YEAR (PERJAW-TYPE 2),306000
DNPF000161,Dentistry,"ENT (Ear, Nose & Throat)",TREATMENT WITH REMOVABLEAPPLIANCE - 6 MONTHS (PERJAW-TYPE 1),244800
DNPF000162,Dentistry,"ENT (Ear, Nose & Throat)",TREATMENT WITH REMOVABLEAPPLIANCE - 6 MONTHS (PERJAW-TYPE 2),244800
DNPF000163,Dentistry,Dentistry,FLAP OPERATION PER QUADRANT,183600
DNPF000164,Dentistry,Dentistry,GINGIVOPLASTY - PER QUADRANT (LASER),90000
DNPF000165,Dentistry,Dentistry,REMOVAL OFNICOTINE STAINS (PER QUADRANT),61200
DNPF000166,Dentistry,Dental Services,SCALINGAND POLISHING - PER 1/2 HOUR,9200
DNPF000167,Dentistry,Dental Services,SUB-GINGIVAL SCALING PER 1/2 HOUR,30600
DNPF000168,Dentistry,Plastic & Cosmetic Surgery,COSMETIC CONTOURING,42900
DNPF000169,Dentistry,Dental Services,DENTALJEWELLERY,12300
DNPF000170,Dentistry,Dental Services,DIAGNOSTIC WMUP/UNIT (TOOTH),30600
DNPF000171,Dentistry,Dentistry,OCCLUSAL EQUILIBRATION (PER 15MINS),30600
DNPF000172,Dentistry,Orthopaedics,REMOVAL OFOLD CAST POST ETC.(PER 15MINS),9200
DNPF000173,Dentistry,Dental Services,TREATMENT OFHYPERSENSITIVE DENTINE (PER TOOTH),30600
DNPF000174,Dentistry,Dental Services,EXPOSURE OFUNERUPTED TOOTH,9200
DNPF000176,Dentistry,Dental Services,SURGICAL EXTRAC TION OF INFECTED TOOTH,16000
DNPF000177,Dentistry,Dental Services,ORTHODONTIC FOLLOW UP TREATMENT PERARCH,244800
DNPF000179,Dentistry,Dentistry,METAL BRACKET FIXING,6200
DNPF000182,Dentistry,Dentistry,METAL BRACKET FIXING PERARCH,183600
DNPF000183,Dentistry,"ENT (Ear, Nose & Throat)",CLEAR BRACKET FIXING,91800
DNPF000184,Dentistry,"ENT (Ear, Nose & Throat)",CLEAR BRACKET FIXING PERARCH,275400
DNPF000185,Dentistry,Dentistry,REMOVABLEAPPLIANCE WITH SLB/HAWLEYS,137700
DNPF000191,Dentistry,Dentistry,ORTHO REMOVABLEAPPLIANCE  UPPER&LOWER,30600
DNPF000196,Dentistry,Dentistry,NON SURGICAL ENDODONTICS,122400
DNPF000214,Dentistry,Dentistry,SURGICAL ENDODONTICS,153000
DNPF000215,Dentistry,Radiology & Imaging,ADDITIONALX RAYS I DIGITALX-RAY,183600
DNXR000001,Dental Radiology,Radiology & Imaging,BITE WING/ PERI-APICALX-RAY,4300
DNXR000002,Dental Radiology,Radiology & Imaging,CEPHALOMETRIC X-RAY,4300
DNXR000003,Dental Radiology,Radiology & Imaging,PANORAMIC X-RAY,4300
DNXR000006,Dental Radiology,Dental Radiology,LASER HAIR REMOVAL CHIN,7200
DRMS000080,Dermatology,Dermatology & Cosmetics,CHEMICAL PEELS - ( FACE ),30000
DRPF000001,Dermatology,Dermatology & Cosmetics,CHEMICAL PEELS - (BACK),30600
DRPF000002,Dermatology,Dental Services,COMEDONE EXTRACTION  :SMALLAREA,55100
DRPF000003,Dermatology,Dental Services,COMEDONE EXTRACTION :LARGEAREA,35000
DRPF000004,Dermatology,Surgical Procedures,CORN EXCISION MULTIPLE : 1SMALLAREA,40000
DRPF000005,Dermatology,Surgical Procedures,CORN EXCISION PER LESION,42900
DRPF000006,Dermatology,Surgical Procedures,CORN EXCISION MULTIPLE  2 LARGEAREA,40000
DRPF000007,Dermatology,Dermatology,CRYOTHERAPY MULTIPLE LESION,55100
DRPF000008,Dermatology,Dermatology,CRYOTHERAPY SINGLE LESION,120000
DRPF000009,Dermatology,Dermatology,ELECTRODESSICATION (MULTIPLE LESION),135000
DRPF000010,Dermatology,Dermatology,ELECTRODESSICATION (SINGLE LESION),135000
DRPF000011,Dermatology,Pharmaceuticals,INTRALESIONAL INJECTION - KELOID (LARGEAREA),120000
DRPF000012,Dermatology,Pharmaceuticals,INTRALESIONAL INJECTION - KELOID (SMALLAREA),120000
DRPF000013,Dermatology,Pharmaceuticals,INTRALESIONAL INJECTION -ALOPECIAAREATA (LARGEAREA),145000
DRPF000014,Dermatology,Pharmaceuticals,INTRALESIONAL INJECTION -ALOPECIAAREATA (SMALLAREA),250000
DRPF000015,Dermatology,Vascular & Thoracic,LASER FOR VEINS  SMALLAREA,260000
DRPF000016,Dermatology,"ENT (Ear, Nose & Throat)",LASER FOR VEINS LARGEAREA,150000
DRPF000017,Dermatology,Dermatology,LASER HAIR REMOVALABDOMEN,200000
DRPF000018,Dermatology,Dermatology,LASER HAIR REMOVALARMPITS,300000
DRPF000019,Dermatology,Dermatology,LASER HAIR REMOVAL BACK,200000
DRPF000020,Dermatology,Dermatology,LASER HAIR REMOVAL CHEST,180000
